madb_1_title,madb_1_ruby,madb_2_title,madb_2_ruby,animedb_title,animedb_ruby,madb_id,madb_uri
太郎と白・学校の巻,タロウトシロ・ガッコウノマキ,太郎と白・学校の巻,タロウトシロ・ガッコウノマキ,太郎と白・学校の巻,タロウトシロ ガッコウノマキ,ANS002020000,http://mediaarts-db.jp/an/anime_series/16674
普選漫史協定案の巻,フセンマンシキョウテイアンノマキ,普選漫史協定案の巻,フセンマンシキョウテイアンノマキ,普選漫史協定案の巻,フセンマンシキョウテイアンノマキ,ANS002018400,http://mediaarts-db.jp/an/anime_series/16642
実録忠臣蔵,ジツロクチュウシングラ,実録忠臣蔵,ジツロクチュウシングラ,実録忠臣蔵,ジツロクチュウシングラ,ANS002020500,http://mediaarts-db.jp/an/anime_series/16682
一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,ANS002019900,http://mediaarts-db.jp/an/anime_series/16672
アリババの話,アリババノハナシ,アリババの話,アリババノハナシ,アリババの話,アリババノハナシ,ANS002018700,http://mediaarts-db.jp/an/anime_series/16648
忠吉は帰った,チュウキチハカエッタ,忠吉は帰った,チュウキチハカエッタ,忠吉は帰った,チュウキチハカエッタ,ANS002018100,http://mediaarts-db.jp/an/anime_series/16636
土瓶のゆくへ,ドビンノユクエ　／　ボビンノユクヘ,土瓶のゆくへ,ドビンノユクエ　／　ボビンノユクヘ,土瓶のゆくへ,ドビンノユクエ,ANS002018800,http://mediaarts-db.jp/an/anime_series/16650
忍術チビスケ,ニンジュツチビスケ,忍術チビスケ,ニンジュツチビスケ,忍術チビスケ,ニンジュツチビスケ,ANS002019500,http://mediaarts-db.jp/an/anime_series/16664
うそつき城,ウソツキジョウ,うそつき城,ウソツキジョウ,うそつき城,ウソツキジョウ,ANS002018300,http://mediaarts-db.jp/an/anime_series/16640
こがねの花,コガネノハナ,こがねの花,コガネノハナ,こがねの花,コガネノハナ,ANS000881500,http://mediaarts-db.jp/an/anime_series/14080
昭和の浦島,ショウワノウラシマ,昭和の浦島,ショウワノウラシマ,昭和の浦島,ショウワノウラシマ,ANS002020400,http://mediaarts-db.jp/an/anime_series/16680
凸坊猛獣狩,トツボウモウジュウカリ,凸坊猛獣狩,トツボウモウジュウカリ,凸坊猛獣狩,トツボウモウジュウカリ,ANS002019400,http://mediaarts-db.jp/an/anime_series/16662
二つの世界,フタツノセカイ,二つの世界,フタツノセカイ,二つの世界,フタツノセカイ,ANS002012400,http://mediaarts-db.jp/an/anime_series/16526
二つの太陽,フタツノタイヨウ,二つの太陽,フタツノタイヨウ,二つの太陽,フタツノタイヨウ,ANS002018600,http://mediaarts-db.jp/an/anime_series/16646
因幡の兎,イナバノウサギ,因幡の兎,イナバノウサギ,因幡の兎,イナバノウサギ,ANS002018900,http://mediaarts-db.jp/an/anime_series/16652
家庭衛生,カテイエイセイ,家庭衛生,カテイエイセイ,家庭衛生,カテイエイセイ,ANS002019300,http://mediaarts-db.jp/an/anime_series/16660
魚の曲芸,サカナノキョクゲイ,魚の曲芸,サカナノキョクゲイ,魚の曲芸,サカナノキョクゲイ,ANS002019700,http://mediaarts-db.jp/an/anime_series/16668
愚かな鳥,オロカナトリ,愚かな鳥,オロカナトリ,愚かな鳥,オロカナトリ,ANS002019000,http://mediaarts-db.jp/an/anime_series/16654
雪,ユキ,雪,ユキ,雪,ユキ,ANS002018200,http://mediaarts-db.jp/an/anime_series/16638
